Time	Channel 8
Seconds	mW

252620	1,5858
252630	1,5806
252640	1,5806
252650	1,5789
252660	1,5789
252670	1,5806
252680	1,5737
252690	1,5806
252700	1,5789
252710	1,5806
252720	1,5789
252730	1,5841
252740	1,5789
252750	1,5789
252760	1,5823
252770	1,5806
252780	1,5823
252790	1,5789
252800	1,5771
252810	1,5823
252820	1,5823
252830	1,5806
252840	1,5823
252850	1,5771
252860	1,5825
252870	1,5789
252880	1,5823
252890	1,5806
252900	1,5806
252910	1,5789
252920	1,5841
252930	1,5806
252940	1,5841
252950	1,5789
252960	1,5806
252970	1,5789
252980	1,5841
252990	1,5789
253000	1,5737
253010	1,5789
253020	1,5771
253030	1,5789
253040	1,5795
253050	1,5760
253060	1,5737
253070	1,5795
253080	1,5823
253090	1,5806
253100	1,5806
253110	1,5841
253120	1,5720
253130	1,5841
253140	1,5754
253150	1,5754
253160	1,5737
253170	1,5771
253180	1,5737
253190	1,5780
253200	1,5771
253210	1,5754
253220	1,5771
253230	1,5737
253240	1,5789
253250	1,5737
253260	1,5771
253270	1,5806
253280	1,5771
253290	1,5754
253300	1,5737
253310	1,5771
253320	1,5737
253330	1,5771
253340	1,5737
253350	1,5754
253360	1,5737
253370	1,5771
253380	1,5754
253390	1,5702
253400	1,5754
253410	1,5702
253420	1,5702
253430	1,5754
253440	1,5737
253450	1,5740
253460	1,5789
253470	1,5754
253480	1,5754
253490	1,5737
253500	1,5780
253510	1,5760
253520	1,5771
253530	1,5737
253540	1,5771
253550	1,5771
253560	1,5754
253570	1,5771
253580	1,5737
253590	1,5754
253600	1,5754
253610	1,5737
253620	1,5720
253630	1,5737
253640	1,5702
253650	1,5702
253660	1,5754
253670	1,5789
253680	1,5737
253690	1,5720
253700	1,5720
253710	1,5754
253720	1,5789
253730	1,5737
253740	1,5754
253750	1,5771
253760	1,5702
253770	1,5737
253780	1,5771
253790	1,5702
253800	1,5720
253810	1,5685
253820	1,5685
253830	1,5720
253840	1,5737
253850	1,5737
253860	1,5720
253870	1,5702
253880	1,5720
253890	1,5704
253900	1,5720
253910	1,5737
253920	1,5720
253930	1,5685
253940	1,5702
253950	1,5720
253960	1,5668
253970	1,5720
253980	1,5720
253990	1,5702
254000	1,5702
254010	1,5720
254020	1,5720
254030	1,5771
254040	1,5720
254050	1,5720
254060	1,5720
254070	1,5720
254080	1,5720
254090	1,5720
254100	1,5651
254110	1,5668
254120	1,5702
254130	1,5699
254140	1,5737
254150	1,5685
254160	1,5720
254170	1,5668
254180	1,5702
254190	1,5702
254200	1,5702
254210	1,5720
254220	1,5735
254230	1,5699
254240	1,5616
254250	1,5668
254260	1,5668
254270	1,5685
254280	1,5720
254290	1,5720
254300	1,5702
254310	1,5720
254320	1,5737
254330	1,5685
254340	1,5702
254350	1,5685
254360	1,5651
254370	1,5702
254380	1,5685
254390	1,5720
254400	1,5689
254410	1,5740
254420	1,5668
254430	1,5651
254440	1,5685
254450	1,5668
254460	1,5633
254470	1,5668
254480	1,5651
254490	1,5668
254500	1,5651
254510	1,5720
254520	1,5668
254530	1,5651
254540	1,5685
254550	1,5668
254560	1,5668
254570	1,5651
254580	1,5651
254590	1,5651
254600	1,5651
254610	1,5685
254620	1,5668
254630	1,5685
254640	1,5737
254650	1,5685
254660	1,5668
254670	1,5633
254680	1,5720
254690	1,5651
254700	1,5633
254710	1,5685
254720	1,5702
254730	1,5616
254740	1,5633
254750	1,5651
254760	1,5651
254770	1,5668
254780	1,5702
254790	1,5651
254800	1,5616
254810	1,5651
254820	1,5668
254830	1,5599
254840	1,5668
254850	1,5651
254860	1,5581
254870	1,5616
254880	1,5651
254890	1,5599
254900	1,5633
254910	1,5633
254920	1,5633
254930	1,5668
254940	1,5581
254950	1,5651
254960	1,5685
254970	1,5685
254980	1,5633
254990	1,5651
255000	1,5633
255010	1,5616
255020	1,5685
255030	1,5633
255040	1,5616
255050	1,5651
255060	1,5633
255070	1,5599
255080	1,5633
255090	1,5651
255100	1,5581
255110	1,5633
255120	1,5633
255130	1,5616
255140	1,5564
255150	1,5599
255160	1,5633
255170	1,5599
255180	1,5616
255190	1,5599
255200	1,5581
255210	1,5633
255220	1,5599
255230	1,5599
255240	1,5547
255250	1,5581
255260	1,5633
255270	1,5633
255280	1,5616
255290	1,5581
255300	1,5564
255310	1,5616
255320	1,5633
255330	1,5599
255340	1,5633
255350	1,5616
255360	1,5581
255370	1,5547
255380	1,5547
255390	1,5616
255400	1,5616
255410	1,5581
255420	1,5616
255430	1,5584
255440	1,5616
255450	1,5538
255460	1,5616
255470	1,5581
255480	1,5599
255490	1,5651
255500	1,5599
255510	1,5538
255520	1,5581
255530	1,5564
255540	1,5599
255550	1,5599
255560	1,5584
255570	1,5547
255580	1,5547
255590	1,5581
255600	1,5564
255610	1,5581
255620	1,5547
255630	1,5564
255640	1,5633
255650	1,5616
255660	1,5581
255670	1,5530
255680	1,5564
255690	1,5599
255700	1,5564
255710	1,5564
255720	1,5512
255730	1,5547
255740	1,5530
255750	1,5581
255760	1,5581
255770	1,5599
255780	1,5599
255790	1,5581
255800	1,5564
255810	1,5599
255820	1,5564
